taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
574,891807,False,,,,4.0,0.0
597,52110,False,,,,4.0,2437.680241303208
597,82677,False,,,,4.0,17.83809431810473
597,759526,True,3.0,0.007229322843030035,1.0,4.0,31.99150524338202
598,52079,False,,,,4.0,13.640809480989564
600,25279,False,,,,4.0,6.9478327970465985
602,82615,False,,,,4.0,8.101943175580065
604,81937,False,,,,4.0,0.0
604,1731618,False,,,,4.0,0.0
614,85376,False,,,,4.0,9.800410255934741
614,85388,False,,,,4.0,8.982927203423793
615,586416,False,,,,4.0,0.0
615,1009201,False,,,,4.0,0.0
617,82904,False,,,,4.0,1662.9009071210312
617,83125,False,,,,4.0,0.0
617,85300,False,,,,4.0,0.0
617,983878,False,,,,4.0,0.0
618,83174,False,,,,4.0,181.85457924741252
618,556804,True,2.0,0.005157517757650768,1.0,4.0,0.0
620,82964,False,,,,4.0,0.0
620,869982,False,,,,4.0,0.0
620,1006924,False,,,,4.0,0.0
622,51606,False,,,,3.0,13.731998341717935
623,422274,False,,,,4.0,12.992751301092209
626,81441,False,,,,4.0,0.0
627,82016,False,,,,4.0,0.0
627,82048,False,,,,3.0,0.0
627,1559094,True,9.0,0.010325768323954418,1.0,4.0,0.0
639,49751,False,,,,4.0,18.829727822331037
639,49770,False,,,,3.0,7.870991989028255
640,48406,False,,,,4.0,0.0
640,1708395,False,,,,4.0,1547.8463393791149
642,51065,False,,,,4.0,0.0
642,51076,False,,,,4.0,0.0
642,51460,False,,,,4.0,0.0
652,56548,False,,,,3.0,0.0
652,57760,False,,,,3.0,11.623333225378968
652,422439,False,,,,4.0,0.0
672,681602,False,,,,4.0,0.0
673,60100,False,,,,4.0,2614.388338453385
734,978203,False,,,,4.0,5292.965096742297
735,46655,False,,,,4.0,101.0183081409612
738,45880,True,6.0,0.0028437233467378475,2.0,4.0,5.105348694216586
738,165558,False,,,,4.0,3.8349773797096307
740,46923,False,,,,4.0,0.0
760,164674,False,,,,3.0,216.76780097244037
761,46762,False,,,,3.0,0.0
761,46936,True,3.0,0.0033705914606406468,1.0,4.0,15.284236088498828
775,222187,False,,,,4.0,16.331342372260597
775,1119236,False,,,,5.0,0.0
776,517337,False,,,,4.0,0.0
815,35206,False,,,,3.0,9044.579312146116
815,164527,False,,,,3.0,9715.985803226906
815,516724,False,,,,5.0,7143.656796053192
893,238323,False,,,,4.0,0.0
894,237964,False,,,,3.0,0.0
918,239851,False,,,,4.0,20.989896007059347
918,435740,False,,,,4.0,16.61674019662336
919,814043,False,,,,4.0,6.616250687096166
920,239657,False,,,,4.0,0.0
920,438852,False,,,,4.0,3.968804473600846
922,240028,True,5.0,0.007842788317245277,2.0,4.0,22.153502593138413
922,411875,False,,,,4.0,0.0
933,38590,False,,,,3.0,0.0
934,38152,False,,,,4.0,0.0
940,764796,False,,,,3.0,2.232531279753845
945,39910,False,,,,3.0,84.46197737478612
945,40043,False,,,,3.0,3.8414266353550874
