taz_id,old_node_id,new_node_id,endpoint_shift_ft,old_density,old_density_rank,old_major_level,new_major_level,major_level_change,new_was_20260722_candidate,new_candidate_best_rank
1050,1570880,974142,1401.6877897733743,0.003454580020702732,1,4.0,4.0,same,False,
1055,289012,972311,7499.352775406617,0.002119662481123488,5,4.0,4.0,same,False,
1056,1566673,972656,6152.416552867514,0.00531448038737005,2,4.0,4.0,same,False,
1066,555332,555343,590.8186354540661,0.005055888967027546,8,3.0,3.0,same,False,
1066,657888,555348,1436.5689297767958,0.009827749117459168,5,3.0,3.0,same,False,
1068,94355,973398,2281.2768025829696,0.0023424072279921446,3,4.0,4.0,same,False,
1068,972197,1545824,1694.9850264820889,0.0019215936221697247,4,4.0,4.0,same,False,
1068,287546,1682685,3967.2463409781303,0.006406579896030658,1,4.0,4.0,same,False,
1069,555285,436981,539.6682314159783,0.012505263734480142,2,3.0,3.0,same,False,
1069,287553,287546,2409.6218396256445,0.0026813837425077396,8,4.0,4.0,same,True,7.0
1071,973093,287278,2716.6231428007136,0.0012195482302695473,8,4.0,4.0,same,False,
1071,572309,972577,610.9770044777301,0.003266038067914847,2,4.0,4.0,same,False,
1072,555398,287254,1923.0345628718214,0.005207077211852837,1,3.0,3.0,same,True,4.0
1075,854601,834047,5137.1004087909405,0.005409061764485009,4,4.0,4.0,same,False,
1130,99222,99220,1114.7337798764127,0.005162114218179714,4,4.0,4.0,same,False,
1130,963800,99850,138.702703651707,0.010770577192497723,1,4.0,4.0,same,False,
1131,964833,99095,418.657592788026,0.004702463222631554,5,3.0,3.0,same,False,
1138,963690,121406,6947.664739321398,0.007295509133416327,4,4.0,4.0,same,False,
1138,963409,121776,203.80245337092268,0.005113740630823237,8,4.0,4.0,same,False,
1139,1441171,606326,872.0329408908725,0.013962996222135376,1,4.0,4.0,same,False,
1139,963389,121766,851.0034547520582,0.009327982203777679,3,4.0,4.0,same,False,
1151,98053,98050,1137.9332581478507,0.0019548635607546136,2,3.0,3.0,same,False,
1151,97886,97887,152.16126313847357,0.0017612403961215872,3,4.0,4.0,same,False,
1151,972336,1725252,2912.8934137721985,0.0015165551139085345,4,3.0,3.0,same,False,
1152,964760,22209,162.63299173236697,0.007017612746308112,1,4.0,4.0,same,False,
1184,890026,651412,472.88595876842425,0.006151527260312017,1,4.0,4.0,same,False,
1185,291411,291418,2250.0219110044072,0.006442239453741655,3,4.0,4.0,same,False,
1185,417140,99780,466.3334965458664,0.008366343395386,1,4.0,4.0,same,True,4.0
